Starting RemoveRandom Benchmark Sync
JavaIMPL 6	139	813	668	866	1287	2890	6801	16929	35060	96170	251602	546509	1147362	2535288	5730180	13192156	29066623	71645162	164646320	405063573
JavaIMPL 7	156	633	279	831	1472	3426	7976	16430	127154	524611	981389	2092701	4253612	8552415	17528648	13213993	31289470	73116669	173293280	416461815
JavaIMPL 8	156	762	696	2182	2303	5908	10419	21961	39994	78121	254771	552747	1228531	2588652	6561240	13668001	32557411	72528668	174303335	404094611
JavaIMPL 9	156	713	722	970	1860	3374	8330	13556	39696	91191	245691	552354	1212401	2514271	5728328	13377311	31020708	73229646	170318168	400753337


Starting RemoveRandom Benchmark Concurrent 4
OurIMPL 0	424	276	1193	1139	3560	4969	54839	76548	89624	121948	289045	729893	1368189	2811025	6060884	13479448	35175401	82503853	220484558	509477517
OurIMPL 1	271	319	1231	1795	11656	4838	84732	27331	50698	221863	520143	847015	1446541	3204154	6787862	14831216	33765753	80265756	209381788	445437435
OurIMPL 2	244	284	1695	1314	4554	5666	11510	30300	40369	178011	294469	690862	1405830	3081950	6509918	14294030	35776169	81565510	210113196	571828136
OurIMPL 3	238	311	1632	1738	3896	4970	89689	36627	75721	163097	311633	863106	1529904	3206773	8581423	15008127	32012331	80568332	220801765	623223323
OurIMPL 4	220	236	1344	1450	3485	5903	13506	25079	180613	164365	251801	680535	1639994	3088718	6714700	14764230	35753129	77600029	215983581	612708435
OurIMPL 5	200	299	1722	1583	3765	4794	9255	32931	43789	81195	297355	887304	1480606	3162629	7029122	15489582	32653665	84084939	216894782	668798237
OurIMPL 6	236	269	1195	1318	3892	4931	11492	73437	83683	192402	467567	900745	2098610	3115737	6752009	15172322	33395260	82254346	214223866	577186493
OurIMPL 7	238	320	1200	1831	4834	5185	28953	95394	110033	206614	362096	723144	1924384	3109821	7032424	14470581	35021587	81996075	217012769	653819471
OurIMPL 8	252	343	1227	1876	2643	6235	14570	71072	80499	214747	967238	2733603	3515032	5548837	11550212	25746854	47865902	84113494	213134563	593456706
OurIMPL 9	233	289	1223	1282	12385	37371	15851	28847	67736	126456	393364	1113769	1647035	3363406	7141903	15046030	35774223	81519828	219133083	630154739
JavaIMPL 0	511	283	1560	1301	2516	3738	5678	22856	29115	91197	219436	592076	1122699	2633059	5799649	13271062	29497732	67773305	155210972	380862798
JavaIMPL 1	200	268	834	854	2377	3164	15136	15325	55768	112540	229939	685621	1763854	2910593	5864547	13263234	29499513	69437898	158981199	379464513
JavaIMPL 2	222	227	873	1451	2327	2211	10076	20428	50034	93136	329633	622043	1329301	2695279	5887870	12886215	29708500	69382781	182906553	405213470
JavaIMPL 3	232	247	946	1345	1798	3782	8371	13623	63383	96659	174605	461051	1482816	2940820	6053224	13149899	30824289	68805575	163908050	404358819
JavaIMPL 4	228	227	1011	1395	1813	3074	7937	13963	40783	79070	151121	496659	1473487	2954982	5945072	12988301	30768585	83746158	162675340	409274594
JavaIMPL 5	378	331	888	1535	3125	10588	6557	15899	64474	70215	371060	641759	1393229	2887533	6060997	13104496	29329348	68783629	161051688	386664743
JavaIMPL 6	233	315	1232	1162	1860	4076	7301	29547	45199	90136	172140	490067	1569983	2977198	6355041	13397538	33323808	69612274	166597695	412021226
JavaIMPL 7	193	305	1132	852	2331	11940	11283	35655	49406	82588	162290	689215	1330804	2809769	6413824	14053108	30714673	69121954	174231449	380524107
JavaIMPL 8	267	215	1819	1390	1569	4930	7991	32373	38728	91811	165642	453323	1560093	3039831	6032950	14961998	32887162	71561789	175445309	387677875
JavaIMPL 9	233	277	1188	1438	1831	4452	9156	18462	47821	99472	329523	736063	1615109	3266566	6463900	14882908	31691733	75815326	169067348	405230466


Starting RemoveRandom Benchmark Concurrent 8
OurIMPL 0	631	503	452	3829	3459	7763	49796	78176	132969	429316	929826	992853	2028023	4486301	10857789	17725983	40674597	98435375	194696048	570314072
OurIMPL 1	430	557	598	2729	17207	16526	20157	20593	410955	233175	1151863	978387	1895354	3242272	7938579	16137716	32419630	90645724	173590094	516310411
OurIMPL 2	1026	782	665	4540	4638	8294	16606	116376	135832	400315	613613	1271669	2019922	4015639	6752440	15679964	35869424	86326696	202114225	442776702
OurIMPL 3	446	333	712	3154	4044	8255	19954	133270	101004	644687	351792	1156109	2148946	3863883	7903972	14200285	45074951	92311299	195801330	415881113
OurIMPL 4	420	582	573	2552	20823	5019	77086	39447	262628	611200	396543	752182	2133991	3733712	7781809	15553556	35759203	82142829	193341138	488026824
OurIMPL 5	575	366	322	1985	3527	30639	13694	132283	109199	497198	708368	994535	1523406	3482773	7713606	14797981	36020354	66634141	197004647	409519158
OurIMPL 6	454	713	359	1987	3352	6890	15079	66275	240298	504365	561683	907561	1518584	3917072	7434280	15313954	31727751	79840525	178924569	477542644
OurIMPL 7	577	680	696	3047	3786	7543	12480	182773	91458	342571	661199	903691	1669722	3034693	7518166	15174637	31768094	105235760	218739123	407323731
OurIMPL 8	549	479	627	4592	2809	4501	43170	95103	198700	430616	429334	812436	1571696	3269212	8243276	15408975	33229490	74574929	157336392	423141561
OurIMPL 9	705	718	608	6414	5793	76559	14965	47712	270550	588853	385933	1214874	2069652	3538291	8468034	18007445	40600104	103450588	151119050	421110871
JavaIMPL 0	491	431	721	3013	2789	4064	7851	18647	43848	149657	510822	373100	1241511	2242525	8052181	17260343	37940950	88205099	200960296	441050522
JavaIMPL 1	793	573	580	1448	1188	4349	19877	28148	52919	114039	285327	500844	1590412	2316890	5774829	13116277	27589025	56910808	179025422	438203073
JavaIMPL 2	724	353	617	3490	2474	3734	11338	24635	69264	149388	248610	648873	1418693	3223695	5750802	10787118	35368081	56567989	142330768	355626311
JavaIMPL 3	878	535	349	4889	2544	3044	15346	28986	53712	165404	280784	488276	1686377	2492213	6871988	8936739	26203024	67897649	160252342	382065555
JavaIMPL 4	611	395	642	1615	1968	3731	11227	25656	56656	103665	717084	2979922	7736517	11295567	26820313	90758313	31565002	67478681	158248933	387820080
JavaIMPL 5	420	771	425	4024	1795	4212	13782	15991	52740	142341	315561	508277	1299186	3188471	6542210	13227922	32267598	65667422	153195337	306103889
JavaIMPL 6	407	338	660	1484	1669	4897	7554	43769	68829	116623	284458	674423	1233596	3189739	6256939	12334368	29755665	50621454	169139908	416742209
JavaIMPL 7	368	320	325	3204	1652	2562	7154	28061	46995	105823	301645	467861	1624592	3290738	3127031	8626515	33029119	63233344	142150605	359991332
JavaIMPL 8	406	324	324	2147	1986	3520	12997	25358	44625	150592	302900	491440	1446342	3524902	6309126	13282210	26472373	63455421	158293321	336359661
JavaIMPL 9	389	321	350	2890	2477	3559	9733	22019	45650	173015	234143	955230	991678	2852346	5865465	15524029	25097715	57950149	143283674	421603692







-----------------







Starting RemoveHead Benchmark Sync
JavaIMPL 0	1301	443	481	603	1585	3918	6557	13330	27453	62478	124015	257350	503000	1061186	1351667	2980669	6698896	13664879	30744890	64251238
JavaIMPL 1	631	182	268	568	735	2168	3296	8358	17436	44393	71232	153894	385223	712389	1545651	3570024	8080696	14271237	32295456	70109422
JavaIMPL 2	797	154	324	520	1284	1799	3760	8362	18997	35086	78556	157223	325988	776999	1394095	3343832	7998845	15273544	41930993	69125342
JavaIMPL 3	670	358	338	674	1156	1680	2929	8047	14748	31194	98423	156260	301860	602863	1382098	5041347	7242247	15498998	34041440	72113014
JavaIMPL 4	676	167	445	557	1015	2175	3784	8414	15958	31334	67072	150252	313475	629335	1380878	3091374	6712077	14194742	28532751	73114960
JavaIMPL 5	688	236	362	468	648	1814	2929	7540	16381	30979	72001	142591	294482	750278	1381586	2818827	6449092	14420538	30608458	73958883
JavaIMPL 6	833	116	304	294	817	2392	3784	7222	17163	32068	66007	137208	325161	634387	1376155	2951422	6225351	14911916	28836843	60724758
JavaIMPL 7	626	153	436	366	781	1727	3753	7195	15799	33415	64530	155340	315723	627907	1580090	3105504	6371205	15073461	34371608	64005725
JavaIMPL 8	727	132	376	326	1082	1881	3695	7599	14441	30629	70226	166128	297905	602859	1406495	2912896	6747723	13074779	30931050	63544111
JavaIMPL 9	580	138	423	528	1258	1878	4056	7564	16837	33757	70352	172368	277929	652042	1495160	2978424	7187903	17152995	32237391	59701633
OurIMPL 0	5451	667	744	1562	2488	5102	10051	20101	39344	79037	164496	336427	689309	1393566	3365631	4261313	11284791	14594836	30051260	70080003
OurIMPL 1	7659	331	491	978	1529	3096	6332	12401	24539	49707	96581	201715	409401	813029	1801920	3476720	7226251	22577572	34099729	79502403
OurIMPL 2	657	378	455	1009	1524	3112	6267	12493	24509	48925	98673	199992	470391	849505	1940436	3582278	7645675	15334065	47489130	72505059
OurIMPL 3	578	360	435	1020	1535	3169	6181	12327	24689	49031	97526	211561	397636	798706	1864796	3882524	11568341	14719627	35714463	73144443
OurIMPL 4	752	496	653	1397	2154	4520	9040	17950	35314	71552	142775	299370	583279	1132279	2878706	3501815	7464998	14476595	45110248	58730587
OurIMPL 5	665	362	480	940	1533	3095	6269	13643	24815	50046	100321	242590	429196	979150	1830059	3542902	7241021	14814785	29885100	59088982
